sku,name,category,subcategory,image_url
SAND-LOM-BAR-LUC,Lomo Barros Luco,sandwich,Lomo,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-luco.webp
SAND-LOM-CHAC,Lomo Chacarero,sandwich,Lomo,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-chacarero.webp
SAND-LOM-COMP,Lomo Completo,sandwich,Lomo,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-completo.webp
SAND-LOM-DINA,Lomo Dinamico,sandwich,Lomo,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-dinamico.webp
SAND-LOM-ITAL,Lomo Italiano,sandwich,Lomo,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-italiano.webp
SAND-LOM-LUCO-CHAM,"Lomo Luco, Champinon",sandwich,Lomo,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo-luco-champion.webp
SAND-LOM-SOLO,Lomo Solo,sandwich,Lomo,https://cdn.yakero.cl/products/sandwich/sandwich-lomo/sandwich-lomo.webp
