sku,name,category,subcategory,image_url
SAND-CHUR-SOLO,Churrasco Solo,sandwich,Churrasco,https://cdn.yakero.cl/products/sandwich/sandwich-churrasco/sandwich-churrasco.webp
SAND-CHUR-BAR-LUC,Churrasco Barros Luco,sandwich,Churrasco,https://cdn.yakero.cl/products/sandwich/sandwich-churrasco/sandwich-churrasco-luco.webp
SAND-CHUR-ALOP,Churrasco A Lo Pobre,sandwich,Churrasco,https://cdn.yakero.cl/products/sandwich/sandwich-churrasco/huevo-churrasco.webp
SUSHI-GOH-MIXTO,Gohan Mixto,sushi,Gohan,https://cdn.yakero.cl/products/sushi/gohan-y-poked/gohan-mixto.webp
