sku,product_name,product_category,product_subcategory,image_file,image_path,cdn_path,image_url,match_type,assignment_source
SUSHI-ENT-SASH-12-MIX,Sashimi 12 Cortes Mixto,sushi,Entradas,sashimi-12-cortes-mixto.webp,imagenes-yakero/sushi/entradas/Sashimi 12 cortes mixto.png,products/sushi/entradas/sashimi-12-cortes-mixto.webp,https://cdn.yakero.cl/products/sushi/entradas/sashimi-12-cortes-mixto.webp,name_exact,audit_csv
SUSHI-GOH-CAM-APAN,Camarón Apanado,sushi,Gohan,gohan-camaron-apanado.webp,imagenes-yakero/sushi/gohan y poked/gohan camaron apanado.png,products/sushi/gohan-y-poked/gohan-camaron-apanado.webp,https://cdn.yakero.cl/products/sushi/gohan-y-poked/gohan-camaron-apanado.webp,partial_candidate,audit_csv
SUSHI-GOH-CAM-SAL,Camarón Salmón,sushi,Gohan,gohan-camaron-salmon.webp,imagenes-yakero/sushi/gohan y poked/gohan camaron salmon.png,products/sushi/gohan-y-poked/gohan-camaron-salmon.webp,https://cdn.yakero.cl/products/sushi/gohan-y-poked/gohan-camaron-salmon.webp,partial_candidate,audit_csv
SUSHI-GOH-POL-CRISPY,Pollo Crispy,sushi,Gohan,gohan-pollo-crispy.webp,imagenes-yakero/sushi/gohan y poked/gohan pollo crispy.png,products/sushi/gohan-y-poked/gohan-pollo-crispy.webp,https://cdn.yakero.cl/products/sushi/gohan-y-poked/gohan-pollo-crispy.webp,partial_candidate,audit_csv
SUSHI-PRM-FUTOMAKI,Futomaki Rolls,sushi,Premium,futomaki-roll.webp,imagenes-yakero/sushi/special rolls/futomaki roll.png,products/sushi/special-rolls/futomaki-roll.webp,https://cdn.yakero.cl/products/sushi/special-rolls/futomaki-roll.webp,partial_candidate,audit_csv
SUSHI-PRM-RAINBOW,Rainbow Rolls,sushi,Premium,rainbow-roll.webp,imagenes-yakero/sushi/special rolls/rainbow roll.png,products/sushi/special-rolls/rainbow-roll.webp,https://cdn.yakero.cl/products/sushi/special-rolls/rainbow-roll.webp,partial_candidate,audit_csv
SUSHI-PRM-SAKE-FURAY,Sake Furay,sushi,Premium,sake-furay.webp,imagenes-yakero/sushi/special rolls/sake furay.png,products/sushi/special-rolls/sake-furay.webp,https://cdn.yakero.cl/products/sushi/special-rolls/sake-furay.webp,name_exact,audit_csv
SUSHI-PRM-TORI,Tori Rolls,sushi,Premium,tori-roll.webp,imagenes-yakero/sushi/special rolls/tori roll.png,products/sushi/special-rolls/tori-roll.webp,https://cdn.yakero.cl/products/sushi/special-rolls/tori-roll.webp,partial_candidate,audit_csv
SUSHI-PRM-TORTA,Torta de Sushi,sushi,Premium,torta-de-sushi.webp,imagenes-yakero/sushi/premium/Torta de Sushi.png,products/sushi/premium/torta-de-sushi.webp,https://cdn.yakero.cl/products/sushi/premium/torta-de-sushi.webp,name_exact,audit_csv
SUSHI-PRM-YAK-ACEV-SA,Yakero Acevichado sin Arroz,sushi,Premium,yakero-acevichado-sin-arroz.webp,imagenes-yakero/sushi/special rolls/yakero acevichado sin arroz.png,products/sushi/special-rolls/yakero-acevichado-sin-arroz.webp,https://cdn.yakero.cl/products/sushi/special-rolls/yakero-acevichado-sin-arroz.webp,name_exact,audit_csv
SUSHI-PRO-020,Promo 20 piezas,sushi,Promociones,promo-20-piezas.webp,imagenes-yakero/promociones/promo 20 piezas.png,promotions/promo-20-piezas.webp,https://cdn.yakero.cl/promotions/promo-20-piezas.webp,name_exact,audit_csv
SUSHI-PRO-030,Promo 30 piezas,sushi,Promociones,promo-30-piezas.webp,imagenes-yakero/promociones/promo 30 piezas.png,promotions/promo-30-piezas.webp,https://cdn.yakero.cl/promotions/promo-30-piezas.webp,name_exact,audit_csv
SUSHI-PRO-040,Promo 40 piezas,sushi,Promociones,promo-40-piezas.webp,imagenes-yakero/promociones/promo 40 piezas.png,promotions/promo-40-piezas.webp,https://cdn.yakero.cl/promotions/promo-40-piezas.webp,name_exact,audit_csv
SUSHI-PRO-050,Promo 50 piezas,sushi,Promociones,promo-50-piezas.webp,imagenes-yakero/promociones/promo 50 piezas.png,promotions/promo-50-piezas.webp,https://cdn.yakero.cl/promotions/promo-50-piezas.webp,name_exact,audit_csv
SUSHI-PRO-060,Promo 60 piezas,sushi,Promociones,promo-60-piezas.webp,imagenes-yakero/promociones/promo 60 piezas.png,promotions/promo-60-piezas.webp,https://cdn.yakero.cl/promotions/promo-60-piezas.webp,name_exact,audit_csv
SUSHI-PRO-080,Promo 80 piezas,sushi,Promociones,promo-80-piezas.webp,imagenes-yakero/promociones/promo 80 piezas.png,promotions/promo-80-piezas.webp,https://cdn.yakero.cl/promotions/promo-80-piezas.webp,name_exact,audit_csv
SUSHI-PRO-YAK-TORI,Promo Yakero Tori,sushi,Promociones,promo-yakero-tori.webp,imagenes-yakero/promociones/promo yakero tori.png,promotions/promo-yakero-tori.webp,https://cdn.yakero.cl/promotions/promo-yakero-tori.webp,name_exact,audit_csv
SUSHI-ROL-AVO,Avocado Rolls,sushi,Rolls,avocado-roll.webp,imagenes-yakero/sushi/rolls/avocado roll.png,products/sushi/rolls/avocado-roll.webp,https://cdn.yakero.cl/products/sushi/rolls/avocado-roll.webp,partial_candidate,audit_csv
SUSHI-ROL-CAL,California Rolls,sushi,Rolls,california-roll.webp,imagenes-yakero/sushi/rolls/california roll.png,products/sushi/rolls/california-roll.webp,https://cdn.yakero.cl/products/sushi/rolls/california-roll.webp,partial_candidate,audit_csv
SUSHI-ROL-CHEE,Cheese Rolls,sushi,Rolls,cheese-roll.webp,imagenes-yakero/sushi/rolls/cheese roll.png,products/sushi/rolls/cheese-roll.webp,https://cdn.yakero.cl/products/sushi/rolls/cheese-roll.webp,partial_candidate,audit_csv
SUSHI-ROL-FURAY,Furay Rolls,sushi,Rolls,furay-roll.webp,imagenes-yakero/sushi/rolls/furay roll.png,products/sushi/rolls/furay-roll.webp,https://cdn.yakero.cl/products/sushi/rolls/furay-roll.webp,partial_candidate,audit_csv
SUSHI-ROL-SAKE,Sake Rolls,sushi,Rolls,sake-roll.webp,imagenes-yakero/sushi/rolls/sake roll.png,products/sushi/rolls/sake-roll.webp,https://cdn.yakero.cl/products/sushi/rolls/sake-roll.webp,partial_candidate,audit_csv
